**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on February 21, 2015
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Paleontology List
********
FR Number		C43/f7510	C46/f0059	C46/f0103	C46/f9508	C46/f9524	C46/f9524	CA/f0021A	CA/f0021A	CA/f0021A	CA/f0021B	CA/f0021B	CA/f0021B	CA/f0021B	CA/f0022A	CA/f0022A	CH/f0004	CH/f0004	CH/f0004	CH/f0011A	CH/f0011A	CH/f0011A	CH/f0011A	CH/f0011B	CH/f0011B	CH/f0013B	CH/f0013B	CH/f0013B	CH/f0020B	CH/f0020B	CH/f0023A	CH/f0023A	CH/f0025B	CH/f0025B	CH/f0025B	CH/f0039	CH/f0039	CH/f0045	CH/f0045	CH/f0076	CH/f0076	CH/f0078	CH/f0078	CH/f0095	CH/f0095	CH/f0100	CH/f0100	CH/f0101	CH/f0101	CH/f0104A	CH/f0104A	CH/f0105	CH/f0105	CH/f0106	CH/f0106	CH/f0110	CH/f0110	CH/f0111	CH/f0111	CH/f0112	CH/f0112	CH/f0114	CH/f0114	CH/f0114	CH/f0115	CH/f0115	CH/f0116	CH/f0116	CH/f0222	CH/f0222	CH/f0222A	CH/f0222A	CH/f0232	CH/f0232	CH/f0232A	CH/f0232A	CH/f0244	CH/f0244	CH/f0246	CH/f0246	CH/f0254A	CH/f0254A	CH/f0261A	CH/f0261A	CH/f0344	CH/f0344	CH/f0364A	CH/f0364A	CH/f0463	CH/f0463	CH/f0464	CH/f0464	CH/f0468	CH/f0468	CH/f0468	CH/f0474	CH/f0474	CH/f0474	CH/f0483	CH/f0483	CH/f0487	CH/f0487	CH/f0489	CH/f0489	CH/f0490	CH/f0490	CH/f0491	CH/f0491	CH/f0493	CH/f0493	CH/f0494	CH/f0494	CH/f0526	CH/f0526	CH/f0526	CH/f0526	CH/f0526	CH/f0526	CH/f0526	CH/f0526	CH/f0529	CH/f0529	CH/f0529	CH/f0529	CH/f0529	CH/f0530	CH/f0531	CH/f0531	CH/f0532	CH/f0532	CH/f0534	CH/f0534	CH/f0590	CH/f0590	CH/f0591	CH/f0591	CH/f0591	CH/f0592	CH/f0592	CH/f0593	CH/f0593	CH/f0594	CH/f0594	CH/f0602	D41/f0013	D41/f0013	D41/f0014	D41/f0014	D41/f0015	D41/f0015	D41/f0016	D41/f0016	D42/f0059	D43/f9498	D45/f0001	D45/f0002	D45/f0003	D45/f0004	D45/f0004	D45/f0004	D45/f0005	D45/f0006	D45/f0080	D45/f0080	D45/f7136	D45/f8456	D45/f8456	D45/f8462	D45/f8462	D45/f8482	D45/f8482	D45/f8554	D45/f8554	D45/f8554	D45/f8563	D45/f8601	D45/f8797	D45/f8819	D45/f8820	D45/f8821	D45/f8822	D45/f8822	D45/f8822	D45/f8823	D45/f8825	D45/f8826	D45/f8827	D45/f8828	D45/f8828	D45/f8829	D45/f8830	D45/f9484	D45/f9485	D45/f9486	D45/f9487	D45/f9488	D45/f9492	D45/f9585	E37/f9514	E37/f9514	E38/f6513	E38/f6513	E43/f9500	E43/f9500	E46/f7430	E46/f9487	E46/f9489	E46/f9489	G36/f6501	G36/f6501	G36/f6501	I38/f7650	I38/f7650	I38/f7747	I39/f7560	I43/f0053	J31/f9464	J31/f9464	J31/f9492	J31/f9495	J31/f9827	J31/f9827	J32/f7571	J32/f7571	J32/f7571	J32/f9507	J32/f9507	J32/f9602	J32/f9602	J32/f9603	J32/f9603	J32/f9604	J33/f7580	J36/f0002	J38/f0056	J38/f7003A	J38/f8504	J38/f8504	J38/f9490	J38/f9490	J39/f7500C	J39/f7525	J39/f7525	J39/f7586	J39/f7586	J39/f7587	J39/f7590	J39/f7592	J39/f7593	J39/f7626	J39/f7626	
Sporites	Triletes tuberculiformis																					5/303 1266																																																																																																																																																																																																																																						
Pollenites	Alisporites similis																					1/297/1138																																																																																																																																																																																																																																						
Pollenites	Araucariacites australis																					*																																																																																																																																																																																																																																						
Pollenites	Compositae																					recent contamination (/390 1078																																																																																																																																																																																																																																						
Pollenites	Lygistepollenites																					8/420 1253 Mata Series?																																																																																																																																																																																																																																						
Pollenites	Microcachryidites antarcticus																					1/378 1252, 3/322 1193																																																																																																																																																																																																																																						
Pollenites	Monosulcites minimus																					*																																																																																																																																																																																																																																						
Pollenites	Periporopollenites polyoratus																					6/372 1229 Mata Series																																																																																																																																																																																																																																						
Pollenites	Phyllocladidites mawsonii																					10/473 1162 Arowhanan and younger																																																																																																																																																																																																																																						
Pollenites	Phyllocladidites sp.																					U 1/382 1132																																																																																																																																																																																																																																						
Pollenites	Podocarpidites marwickii																					*																																																																																																																																																																																																																																						
Pollenites	Podocarpidites otagoensis																					5/325 1092																																																																																																																																																																																																																																						
Pollenites	Podocarpidites sp.																					*																																																																																																																																																																																																																																						
Pollenites	Podosporites microsaccatus																					1/328 1166, 2/452 1110, 4/299 1228, 5/305 1079 very common																																																																																																																																																																																																																																						
Pollenites	Polyporines																					6/407 1278																																																																																																																																																																																																																																						
Pollenites	Spheripollenites psilatus																					U 1/397 1193																																																																																																																																																																																																																																						
Pollenites	Taxodiaceaepollenites hiatus																					*																																																																																																																																																																																																																																						
Pollenites	Tricolpites																					sp.B. 6/412 1293																																																																																																																																																																																																																																						
Pollenites	Tricolpites cf. gillii																					No! reticulate Senonian and younger																																																																																																																																																																																																																																						
Pollenites	Tricolpites fissilis																					7/392 1163 Mata Series																																																																																																																																																																																																																																						
Pollenites	Tricolpites lilliei																					NO! U 10/377 1139 Ngaterian and younger																																																																																																																																																																																																																																						
Pollenites	Vitreisporites pallidus																					*																																																																																																																																																																																																																																						
Foraminifera						*																																																																																																																																			*	*																																																																		*			*		*								*						*	*		*												*														
Porifera	Anomochone chathamensis																																																															*																																																																																																																																																																																												
Porifera	gen. indet.																																																													several good to large (largest to display cabinet)																																																								*																																																																																																																																						
Cnidaria	?Caryophyllia sp.																																																																																																																																																																																																						or Trochocyathus																																																					
Cnidaria	Balanophyllia (Balanophyllia) alta																																																																																																																					*																																																																																																																																						
Cnidaria	Balanophyllia aff. alta																																																																ref. coll.																																																																																																																																																																																											
Cnidaria	Conocyathus zelandiae																																																																																																																																																																																																																																										*																	
Cnidaria	Flabellum rubrum sphenodeum																																																																ref. coll.																																																																																																																																																																																											
Cnidaria	Flabellum sphenodeum																																			Several sp. of Flabellum contained in GS6958, matrix matches exactly (even green statin) that of old Waikaripi coll. Do not matc																																																																																																																																																																																																																								
Cnidaria	gen. indet.																																					*																																																																																Alcyonarian corals			*																																																																																										*																																									
Cnidaria	Madrepora granulata																																													CO691																																																																																																																																																																																																														
Cnidaria	Oculina virgosa																																															CO1273																																																																																																																																																																																																												
Cnidaria	Trochocyathus (Platycyathus) cf. powelli																																																																ref. coll.																																																																																																																																																																																											
Cnidaria	Truncatoflabellum sp.																																																																																																																																																															ref. coll. (Large specimen)																																																																																												
Bryozoa	Cinctipora elegans																										*																																																																																																																																																																																																																																	
Bryozoa	Cinctipora elongata																										*																																																																																																																																																																																																																																	
Bryozoa	gen. indet.																				*				bryozoan colony											to Dr. Brown - 1 bowl-shaped		*																								several large colonies.															bryozoan colonies																																																																																																																																																																															
Brachiopoda	?Belbekella sp.																				*																																																																																																																																																																																																																																							
Brachiopoda	?Campages n.sp.																																																																																																																				*																																																																																																																																							
Brachiopoda	?Liothyrella n.sp.																																																																																																																				*																																																																																																																																							
Brachiopoda	?Neothyris aff. esdailei																																																																																																																																																																																																																		*																																									
Brachiopoda	?Terebratella n.sp.																																																																																													*																																																																																																																																																														
Brachiopoda	?Terebratella n.sp. a																																																																																																																				*																																																																																																																																							
Brachiopoda	?Terebratella n.sp. b																																																																																																																				*																																																																																																																																							
Brachiopoda	Aetheia gualteri																																																																																																																																																																																																																				*																																							
Brachiopoda	Campages chathamensis																																																																																																*																																																																																																																																																											
Brachiopoda	gen. indet.																																																																																																				1 tiny piece, ignore																														*																																																																																																																									
Brachiopoda	Liothyrella sp.																																			*																																																							ref. coll.			*																																																																																																																																																														
Brachiopoda	Magasella aff. sanguinea																																																											*																																																																																																																																																																																																
Brachiopoda	Neocrania chathamensis																																																	*																																																																																																																																																																																																										
Brachiopoda	Neothyris sp.																																																																														*																																																																																																																																																																													
Brachiopoda	Pachymagas cf. huttoni																																																																																																																																																																																																																				*																																							
Brachiopoda	Probolarina chathamensis																																																																																													*																																																																																																																																																														
Brachiopoda	Tegulorhynchia sp.																																																																																																																				*																																																																																																																																							
Brachiopoda	Tegulorhynchia squamosa																																																																																																																																																																																																																		*																																									
Brachiopoda	Terebratella finlayi																																																																																													*																																																																																																																																																														
Brachiopoda	Terebratulina suessi																																																																																													*																																																																																																																							*																																							
Bivalvia	?Aequipecten sp.																				*																																																																																																																																																																																																																																							
Bivalvia	?Astarte sp.																				*																																																																																																																																																																																																																																							
Bivalvia	?Barbatia sp.																																																	*																																																																																																																																																																																																										
Bivalvia	?Callista sp.																								*																																																												*																																																																																																																																																																							
Bivalvia	?Camptonectes n.sp.																								aded by J. Crampton																																																																																																																																																																																																																																			
Bivalvia	?Chlamys (Phialopecten) aff. triphooki marwicki																																																																																																																																		*																																																																																																																									
Bivalvia	?Cucullaea sp.																																							*																																																																																																																																																																																																																				
Bivalvia	?Cyclochlamys n.sp.																																																	*																																																																																																																																																																																																										
